time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
15.2500,2473.6374,3970.0934,206.9400,87.87009,81.60610,79.56385,-0.491876,-0.681461,0.075582,-0.536616,0.18720,-0.09675,0.25562,4840.738
15.5000,2495.1826,3989.8359,227.3911,84.49817,76.27404,83.99030,-0.458060,-0.695900,0.092270,-0.545336,0.16514,-0.10407,0.26788,4840.392
15.7500,2515.8931,4008.2038,248.9040,81.19750,70.61869,88.05023,-0.423638,-0.708694,0.111091,-0.553121,0.15899,-0.10924,0.28052,4840.046
16.0000,2535.7814,4025.1179,271.3879,77.90162,64.63678,91.76700,-0.388821,-0.719668,0.132108,-0.559860,0.13372,-0.11612,0.29206,4839.703
16.2500,2554.8430,4040.4804,294.7640,74.58065,58.19324,95.19508,-0.355084,-0.729085,0.149869,-0.565588,0.15802,-0.08360,0.19667,4839.360
16.5000,2573.0856,4054.2121,318.9520,71.44463,51.72052,98.22500,-0.332582,-0.738610,0.153113,-0.566040,0.12560,-0.07314,0.04776,4839.018
16.7500,2590.6088,4066.3748,343.8406,68.82586,45.65168,100.82274,-0.319878,-0.747706,0.150048,-0.562227,0.09569,-0.06923,-0.00043,4838.677
17.0000,2607.5346,4077.0682,369.3374,66.64124,39.95258,103.10439,-0.310927,-0.755504,0.147238,-0.557548,0.05651,-0.06414,0.01605,4838.336
17.2500,2623.9586,4086.3847,395.3687,64.81154,34.65615,105.09578,-0.303630,-0.760352,0.151432,-0.553843,0.01899,-0.06194,0.07209,4837.997
17.5000,2639.9682,4094.4310,421.8619,63.29996,29.75949,106.81323,-0.294008,-0.763193,0.161939,-0.552153,0.01589,-0.05799,0.12229,4837.657
17.7500,2655.6130,4101.2729,448.7628,61.85750,24.98234,108.37191,-0.282139,-0.764713,0.176147,-0.551891,0.01025,-0.05675,0.14728,4837.318
18.0000,2670.9007,4106.9297,476.0347,60.45282,20.28749,109.77712,-0.269300,-0.765386,0.192174,-0.552024,0.00893,-0.05602,0.15967,4836.979
18.2500,2685.8376,4111.4175,503.6402,59.03445,15.60827,111.04613,-0.255950,-0.765430,0.208975,-0.552210,0.00838,-0.05521,0.16342,4836.640
18.5000,2700.4186,4114.7334,531.5459,57.61677,10.92081,112.17569,-0.241950,-0.765018,0.225369,-0.552645,0.01796,-0.04898,0.16381,4836.302
18.7500,2714.6421,4116.8746,559.7186,56.15937,6.20021,113.18915,-0.227730,-0.763995,0.240962,-0.553523,0.01601,-0.04360,0.15936,4835.963
19.0000,2728.4974,4117.8345,588.1309,54.68328,1.48204,114.09000,-0.213947,-0.762408,0.256074,-0.554424,0.01658,-0.03947,0.15716,4835.625
19.2500,2741.9749,4117.6086,616.7557,53.10908,-3.31161,114.89344,-0.200808,-0.760379,0.270763,-0.555146,0.00849,-0.03871,0.14778,4835.286
19.5000,2755.0501,4116.1799,645.5688,51.51316,-8.08991,115.59293,-0.188657,-0.758221,0.284958,-0.555256,0.00815,-0.03859,0.14591,4834.948
19.7500,2767.7375,4113.5756,674.5441,49.98286,-12.73445,116.19490,-0.176386,-0.755593,0.299637,-0.555144,0.00010,-0.04060,0.15223,4834.609
20.0000,2780.0406,4109.8156,703.6583,48.44422,-17.34032,116.70098,-0.164149,-0.752560,0.315137,-0.554435,0.00092,-0.04252,0.15655,4834.271
