time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
12.5000,2321.0217,3556.9440,48.2310,155.03509,81.10463,-0.98384,-0.920194,-0.224034,-0.024317,-0.320095,0.03221,-0.08072,0.20938,4857.211
12.7500,2359.4852,3577.4715,48.3297,152.51047,83.18977,1.84162,-0.911687,-0.229604,-0.014442,-0.340442,0.02156,-0.02049,0.16876,4856.632
13.0000,2397.2177,3598.5553,49.1689,149.26710,85.48469,4.88335,-0.904541,-0.231767,-0.010672,-0.357738,0.01275,0.01511,0.14108,4856.129
13.2500,2434.0880,3620.2084,50.7718,145.65005,87.71873,7.93273,-0.897998,-0.231927,-0.010016,-0.373778,0.00744,0.03261,0.13348,4855.674
13.5000,2470.0263,3642.4005,53.1275,141.83309,89.78384,10.89070,-0.891387,-0.230930,-0.010184,-0.389867,0.00089,0.03344,0.13797,4855.248
13.7500,2504.9938,3665.0833,56.2057,137.88139,91.64831,13.71603,-0.884329,-0.229543,-0.008886,-0.406439,-0.00482,0.01687,0.14676,4854.841
14.0000,2538.9505,3688.2115,59.9801,133.73413,93.35285,16.47579,-0.876736,-0.228796,-0.004985,-0.423038,-0.00476,-0.00450,0.15062,4854.446
14.2500,2571.8434,3711.7462,64.4424,129.38100,94.89249,19.21819,-0.868697,-0.229133,0.000780,-0.439162,-0.00136,-0.01718,0.15134,4854.058
14.5000,2603.6311,3735.6390,69.5846,124.90711,96.21009,21.90604,-0.860139,-0.230133,0.007367,-0.455132,-0.00004,-0.02251,0.15558,4853.676
14.7500,2634.2903,3759.8315,75.3879,120.34750,97.29343,24.50640,-0.850965,-0.231323,0.014671,-0.471310,-0.00129,-0.02870,0.15992,4853.298
15.0000,2663.7922,3784.2696,81.8329,115.64063,98.18054,27.04570,-0.841386,-0.232751,0.022842,-0.487210,-0.00127,-0.03658,0.15754,4852.923
15.2500,2692.0990,3808.9054,88.9069,110.80095,98.86891,29.53660,-0.831678,-0.234668,0.031426,-0.502250,0.00216,-0.04038,0.15228,4852.551
15.5000,2719.1914,3833.6837,96.5944,105.94585,99.31458,31.94654,-0.821684,-0.236979,0.039679,-0.516820,0.00655,-0.03744,0.15316,4852.181
15.7500,2745.0770,3858.5409,104.8708,101.14836,99.50106,34.24465,-0.811021,-0.239178,0.047376,-0.531785,0.00816,-0.03208,0.16005,4851.813
16.0000,2769.7687,3883.4148,113.7072,96.38837,99.45340,36.42864,-0.799588,-0.240919,0.054885,-0.547361,0.00611,-0.03004,0.16623,4851.447
16.2500,2793.2581,3908.2542,123.0881,91.50549,99.23914,38.61477,-0.790405,-0.243172,0.059387,-0.559107,0.01803,-0.01054,0.05553,4851.083
16.5000,2815.5487,3933.0148,132.9975,86.91035,98.80522,40.61812,-0.789113,-0.244489,0.059793,-0.560313,0.00269,-0.00498,-0.01036,4850.721
16.7500,2836.7727,3957.6367,143.3734,83.01432,98.13187,42.34058,-0.789472,-0.244940,0.060145,-0.559572,-0.00115,-0.00664,0.00758,4850.360
17.0000,2857.1095,3982.0655,154.1482,79.74723,97.27738,43.83096,-0.787619,-0.245154,0.061938,-0.561890,-0.00282,-0.01109,0.04313,4850.001
17.2500,2876.6653,4006.2680,165.2802,76.72257,96.33165,45.21256,-0.783831,-0.245374,0.065308,-0.566689,-0.00517,-0.01893,0.06151,4849.643
17.5000,2895.4834,4030.2252,176.7477,73.85405,95.31183,46.51114,-0.779171,-0.245939,0.070141,-0.572265,-0.00738,-0.03025,0.06799,4849.287
17.7500,2913.6093,4053.9168,188.5281,71.18217,94.20715,47.71916,-0.774103,-0.247159,0.076417,-0.577786,-0.00841,-0.04318,0.06982,4848.933
18.0000,2931.0827,4077.3232,200.6030,68.60968,93.03506,48.87581,-0.768907,-0.249276,0.083870,-0.582760,-0.00730,-0.05491,0.06546,4848.580
18.2500,2947.9156,4100.4298,212.9647,66.06373,91.80737,50.01477,-0.763991,-0.252373,0.091857,-0.586675,-0.00394,-0.06227,0.05602,4848.228
18.5000,2964.1269,4123.2210,225.6071,63.66458,90.50933,51.11516,-0.759431,-0.256230,0.099700,-0.589636,0.00017,-0.06362,0.05028,4847.877
18.7500,2979.7677,4145.6782,238.5173,61.49480,89.13785,52.15776,-0.754849,-0.260347,0.107122,-0.592409,0.00245,-0.06105,0.05111,4847.528
19.0000,2994.8843,4167.7857,251.6831,59.44742,87.71557,53.16467,-0.750108,-0.264284,0.114247,-0.595349,0.00217,-0.05836,0.05174,4847.180
19.2500,3009.4954,4189.5328,265.0982,57.45496,86.25352,54.15236,-0.745390,-0.268014,0.121120,-0.598242,0.00293,-0.05583,0.05017,4846.833
19.5000,3023.6232,4210.9083,278.7566,55.59635,84.74134,55.10916,-0.740648,-0.271653,0.127445,-0.601167,0.00616,-0.05041,0.05071,4846.487
19.7500,3037.3061,4231.8993,292.6501,53.88221,83.18028,56.03506,-0.735734,-0.275031,0.132874,-0.604482,0.00923,-0.04181,0.05219,4846.142
20.0000,3050.5679,4252.4959,306.7727,52.21558,81.58864,56.94292,-0.730904,-0.277815,0.137485,-0.608026,0.00676,-0.03482,0.04994,4845.799
